Country,Region,Rank_2015,Score_2015,GDP_2015,Family_2015,Health_2015,Freedom_2015,Corruption_2015,Generosity_2015,Dystopia_2015,Rank_2019,Score_2019,GDP_2019,Social_2019,Health_2019,Freedom_2019,Corruption_2019,Generosity_2019,Score_Diff,GDP_Diff,Rank_Diff
Morocco,Middle East and Northern Africa,92,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,0.19500000000000028,0.06620999999999999,3
Mozambique,Sub-Saharan Africa,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197,-0.5049999999999999,0.12091999999999999,-29
Albania,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,-0.23999999999999932,0.06833,-12
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,0.4370000000000003,0.11276999999999993,18
Lesotho,Sub-Saharan Africa,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107,-1.0959999999999996,0.11354999999999998,-47
Dominican Republic,Latin America and Caribbean,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,0.54,0.1196299999999999,21
Laos,Southeastern Asia,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266,-0.08000000000000007,0.17334000000000005,-6
Mongolia,Eastern Asia,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235,0.4110000000000005,0.11980999999999997,17
Swaziland,Sub-Saharan Africa,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,135,4.212,0.811,1.149,0.0,0.313,0.135,0.074,-0.6550000000000002,0.09894000000000003,-34
Greece,Western Europe,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,1.80101,82,5.287,1.181,1.156,0.999,0.067,0.034,0.0,0.4299999999999997,0.026939999999999964,20
Lebanon,Middle East and Northern Africa,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,0.35799999999999965,-0.03864000000000012,12
Hungary,Central and Eastern Europe,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,0.9580000000000002,0.08006000000000002,42
Honduras,Latin America and Caribbean,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,1.072,0.046680000000000055,46
Tajikistan,Central and Eastern Europe,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23,0.681,0.10253000000000001,32
Tunisia,Middle East and Northern Africa,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,124,4.461,0.921,1.0,0.815,0.167,0.055,0.059,-0.2779999999999996,0.03987000000000007,-17
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103,-0.019000000000000128,0.05832999999999999,-2
Bangladesh,Southern Asia,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,-0.23799999999999955,0.16447000000000006,-16
Iran,Middle East and Northern Africa,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,-0.1379999999999999,0.09120000000000017,-7
Ukraine,Central and Eastern Europe,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,-0.3490000000000002,0.020930000000000004,-22
Iraq,Middle East and Northern Africa,112,4.677,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,1.95335,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,-0.23999999999999932,0.05750999999999995,-14
South Africa,Sub-Saharan Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,0.08000000000000007,0.039509999999999934,7
Ghana,Sub-Saharan Africa,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,0.36300000000000043,0.06542000000000003,16
